"安装日期","生命周期","国家","应用","版本","买量渠道","注册用户","广告类型","变现渠道","曝光人数","曝光次数","广告收益","点击次数"
2026-08-17,ALL,ao,RM12,"1.0.6",facebook,17,ALL,ALL,14,48,0.6494096499,38
2026-08-17,"0",ao,RM12,"1.0.6",facebook,,nav,audience-network,11,19,0.3306397478,17
2026-08-17,ALL,ar,RM12,"1.0.6",facebook,640,ALL,ALL,530,2101,48.2364932339,1140
2026-08-17,ALL,ar,RM12,"1.0.6",Google Organic Search,11,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,ar,RM12,"1.0.6",unknown,31,ALL,ALL,17,34,0.3803583431,13
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,int,admob,237,499,5.9837138920,188
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,int,audience-network,147,264,2.0082942387,107
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,int,mintegral,48,54,0.2164038945,28
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,int,pangle,36,77,0.3900475800,67
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,int,vungle,44,55,0.1712047463,34
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,nav,admob,351,606,24.5119754860,361
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,nav,audience-network,298,520,14.7335591414,340
2026-08-17,"0",ar,RM12,"1.0.6",facebook,,open,admob,26,26,0.2212942550,15
2026-08-17,ALL,bf,RM12,"1.0.6",facebook,17,ALL,ALL,14,43,0.6792208296,27
2026-08-17,"0",bf,RM12,"1.0.6",facebook,,nav,audience-network,10,18,0.3484333802,12
2026-08-17,ALL,bi,RM12,"1.0.6",facebook,17,ALL,ALL,12,28,0.1535523902,24
2026-08-17,ALL,bj,RM12,"1.0.6",facebook,11,ALL,ALL,9,34,0.2742170509,23
2026-08-17,ALL,bo,RM12,"1.0.6",facebook,58,ALL,ALL,49,163,1.4765539270,74
2026-08-17,"0",bo,RM12,"1.0.6",facebook,,int,admob,17,31,0.0601025380,6
2026-08-17,"0",bo,RM12,"1.0.6",facebook,,int,audience-network,13,17,0.0775254595,5
2026-08-17,"0",bo,RM12,"1.0.6",facebook,,nav,admob,21,29,0.3712720730,11
2026-08-17,"0",bo,RM12,"1.0.6",facebook,,nav,audience-network,38,73,0.9513882301,44
2026-08-17,ALL,br,RM12,"1.0.6",Google Organic Search,21,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,br,RM12,"1.0.6",unknown,37,ALL,ALL,27,67,1.6012983012,13
2026-08-17,ALL,br,RM12,"1.0.6",facebook,272,ALL,ALL,240,1725,41.5005330425,843
2026-08-17,"0",br,RM12,"1.0.6",facebook,,int,admob,124,284,5.6141861006,98
2026-08-17,"0",br,RM12,"1.0.6",facebook,,int,audience-network,48,137,1.1251485200,46
2026-08-17,"0",br,RM12,"1.0.6",facebook,,int,mintegral,55,104,0.8823660795,51
2026-08-17,"0",br,RM12,"1.0.6",facebook,,int,pangle,66,227,3.5884155900,171
2026-08-17,"0",br,RM12,"1.0.6",facebook,,int,vungle,46,98,0.5746723871,74
2026-08-17,"0",br,RM12,"1.0.6",facebook,,nav,admob,181,571,12.7784916439,229
2026-08-17,"0",br,RM12,"1.0.6",facebook,,nav,audience-network,115,294,16.8011331784,166
2026-08-17,"0",br,RM12,"1.0.6",unknown,,open,admob,16,51,0.5548419220,6
2026-08-17,ALL,bs,RM12,"1.0.6",facebook,33,ALL,ALL,29,81,6.1827546467,46
2026-08-17,"0",bs,RM12,"1.0.6",facebook,,int,admob,16,23,0.8595979030,9
2026-08-17,"0",bs,RM12,"1.0.6",facebook,,nav,admob,19,24,2.0263801740,12
2026-08-17,"0",bs,RM12,"1.0.6",facebook,,nav,audience-network,15,22,2.9297983152,15
2026-08-17,ALL,bw,RM12,"1.0.6",facebook,41,ALL,ALL,35,101,1.7221150439,72
2026-08-17,"0",bw,RM12,"1.0.6",facebook,,int,admob,17,23,0.3560641260,14
2026-08-17,"0",bw,RM12,"1.0.6",facebook,,nav,admob,23,34,0.9241043800,23
2026-08-17,"0",bw,RM12,"1.0.6",facebook,,nav,audience-network,15,23,0.2840587083,13
2026-08-17,ALL,cd,RM12,"1.0.6",facebook,72,ALL,ALL,63,207,3.0229765856,134
2026-08-17,"0",cd,RM12,"1.0.6",facebook,,int,admob,42,60,0.7877781670,30
2026-08-17,"0",cd,RM12,"1.0.6",facebook,,int,audience-network,10,11,0.0453173403,1
2026-08-17,"0",cd,RM12,"1.0.6",facebook,,nav,admob,33,51,0.8876771350,29
2026-08-17,"0",cd,RM12,"1.0.6",facebook,,nav,audience-network,39,65,1.1707838748,58
2026-08-17,"0",cd,RM12,"1.0.6",facebook,,open,admob,11,11,0.1066099580,8
2026-08-17,ALL,ci,RM12,"1.0.6",facebook,49,ALL,ALL,44,131,1.8880729350,96
2026-08-17,"0",ci,RM12,"1.0.6",facebook,,int,admob,23,30,0.3466060220,7
2026-08-17,"0",ci,RM12,"1.0.6",facebook,,int,audience-network,10,12,0.0913054099,8
2026-08-17,"0",ci,RM12,"1.0.6",facebook,,nav,admob,16,18,0.3658462170,20
2026-08-17,"0",ci,RM12,"1.0.6",facebook,,nav,audience-network,33,63,1.0580675984,55
2026-08-17,ALL,cl,RM12,"1.0.6",facebook,199,ALL,ALL,176,670,25.1071718761,367
2026-08-17,"0",cl,RM12,"1.0.6",facebook,,int,admob,85,170,3.0476598101,66
2026-08-17,"0",cl,RM12,"1.0.6",facebook,,int,audience-network,41,75,1.4097197649,28
2026-08-17,"0",cl,RM12,"1.0.6",facebook,,int,pangle,11,16,0.0533598300,8
2026-08-17,"0",cl,RM12,"1.0.6",facebook,,nav,admob,147,227,12.9589228710,164
2026-08-17,"0",cl,RM12,"1.0.6",facebook,,nav,audience-network,86,164,7.4117268016,93
2026-08-17,ALL,cm,RM12,"1.0.6",facebook,81,ALL,ALL,71,190,3.6498085542,152
2026-08-17,"0",cm,RM12,"1.0.6",facebook,,int,admob,32,41,0.5962444230,23
2026-08-17,"0",cm,RM12,"1.0.6",facebook,,int,audience-network,21,26,0.3577161765,13
2026-08-17,"0",cm,RM12,"1.0.6",facebook,,nav,admob,23,32,1.0896202220,15
2026-08-17,"0",cm,RM12,"1.0.6",facebook,,nav,audience-network,50,76,1.5354593163,89
2026-08-17,ALL,co,RM12,"1.0.6",unknown,37,ALL,ALL,20,29,0.5718612975,8
2026-08-17,ALL,co,RM12,"1.0.6",facebook,582,ALL,ALL,428,2012,34.0417312449,1144
2026-08-17,ALL,co,RM12,"1.0.6",Google Organic Search,13,ALL,ALL,0,0,0.0000000000,0
2026-08-17,"0",co,RM12,"1.0.6",facebook,,int,admob,216,535,6.4893269263,255
2026-08-17,"0",co,RM12,"1.0.6",facebook,,int,audience-network,152,267,2.8170812259,91
2026-08-17,"0",co,RM12,"1.0.6",facebook,,int,mintegral,34,44,0.0844661500,23
2026-08-17,"0",co,RM12,"1.0.6",facebook,,int,pangle,36,132,0.5395805300,106
2026-08-17,"0",co,RM12,"1.0.6",facebook,,int,vungle,25,33,0.3074644282,30
2026-08-17,"0",co,RM12,"1.0.6",facebook,,nav,admob,251,518,13.6737775066,312
2026-08-17,"0",co,RM12,"1.0.6",facebook,,nav,audience-network,247,452,9.9072539279,310
2026-08-17,"0",co,RM12,"1.0.6",unknown,,open,admob,11,19,0.1546074690,2
2026-08-17,"0",co,RM12,"1.0.6",facebook,,open,admob,31,31,0.2227805500,17
2026-08-17,ALL,cr,RM12,"1.0.6",facebook,89,ALL,ALL,76,236,8.5297361792,143
2026-08-17,"0",cr,RM12,"1.0.6",facebook,,int,admob,34,72,1.1612463260,39
2026-08-17,"0",cr,RM12,"1.0.6",facebook,,int,audience-network,15,22,0.3309565157,9
2026-08-17,"0",cr,RM12,"1.0.6",facebook,,nav,admob,39,66,3.7728758720,51
2026-08-17,"0",cr,RM12,"1.0.6",facebook,,nav,audience-network,38,63,3.1531367029,36
2026-08-17,ALL,de,RM12,"1.0.6",facebook,22,ALL,ALL,16,71,5.0767292460,45
2026-08-17,"0",de,RM12,"1.0.6",facebook,,nav,admob,10,28,2.7831851850,17
2026-08-17,ALL,do,RM12,"1.0.6",facebook,97,ALL,ALL,77,382,4.9739950057,154
2026-08-17,"0",do,RM12,"1.0.6",facebook,,int,admob,41,108,0.9950895320,27
2026-08-17,"0",do,RM12,"1.0.6",facebook,,int,audience-network,20,47,0.3580859977,15
2026-08-17,"0",do,RM12,"1.0.6",facebook,,nav,admob,43,97,1.6336191848,31
2026-08-17,"0",do,RM12,"1.0.6",facebook,,nav,audience-network,51,104,1.8652841418,69
2026-08-17,ALL,dz,RM12,"1.0.6",facebook,47,ALL,ALL,31,229,0.7855123359,101
2026-08-17,"0",dz,RM12,"1.0.6",facebook,,int,admob,19,50,0.0934729470,9
2026-08-17,"0",dz,RM12,"1.0.6",facebook,,int,audience-network,14,26,0.0468613154,12
2026-08-17,"0",dz,RM12,"1.0.6",facebook,,nav,admob,18,46,0.1881889690,16
2026-08-17,"0",dz,RM12,"1.0.6",facebook,,nav,audience-network,24,74,0.4344820386,47
2026-08-17,ALL,ec,RM12,"1.0.6",facebook,116,ALL,ALL,93,397,7.7935855168,187
2026-08-17,"0",ec,RM12,"1.0.6",facebook,,int,admob,34,77,0.3756509190,14
2026-08-17,"0",ec,RM12,"1.0.6",facebook,,int,audience-network,32,47,0.2658186747,14
2026-08-17,"0",ec,RM12,"1.0.6",facebook,,int,mintegral,13,14,0.0173629072,9
2026-08-17,"0",ec,RM12,"1.0.6",facebook,,nav,admob,55,91,3.2782593380,46
2026-08-17,"0",ec,RM12,"1.0.6",facebook,,nav,audience-network,62,146,3.7808060973,90
2026-08-17,ALL,es,RM12,"1.0.6",facebook,91,ALL,ALL,71,193,18.8868809741,129
2026-08-17,"0",es,RM12,"1.0.6",facebook,,int,admob,24,34,0.8768836660,18
2026-08-17,"0",es,RM12,"1.0.6",facebook,,int,audience-network,12,13,1.3968049074,7
2026-08-17,"0",es,RM12,"1.0.6",facebook,,int,vungle,10,14,0.3044219640,13
2026-08-17,"0",es,RM12,"1.0.6",facebook,,nav,admob,26,42,2.5304340750,18
2026-08-17,"0",es,RM12,"1.0.6",facebook,,nav,audience-network,41,82,13.7252036812,69
2026-08-17,ALL,et,RM12,"1.0.6",facebook,25,ALL,ALL,20,63,0.7013687671,59
2026-08-17,"0",et,RM12,"1.0.6",facebook,,nav,admob,11,15,0.2043735350,17
2026-08-17,"0",et,RM12,"1.0.6",facebook,,nav,audience-network,12,22,0.3832307187,33
2026-08-17,ALL,fj,RM12,"1.0.6",facebook,48,ALL,ALL,44,110,1.0667172096,53
2026-08-17,"0",fj,RM12,"1.0.6",facebook,,int,admob,21,25,0.1429462100,8
2026-08-17,"0",fj,RM12,"1.0.6",facebook,,nav,admob,25,32,0.5216032870,16
2026-08-17,"0",fj,RM12,"1.0.6",facebook,,nav,audience-network,23,35,0.3386492483,22
2026-08-17,ALL,fr,RM12,"1.0.6",facebook,23,ALL,ALL,16,60,0.5275079315,42
2026-08-17,ALL,gb,RM12,"1.0.6",facebook,34,ALL,ALL,21,72,5.1689264616,61
2026-08-17,"0",gb,RM12,"1.0.6",facebook,,int,admob,14,26,1.5336369930,9
2026-08-17,ALL,gh,RM12,"1.0.6",Google Organic Search,14,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,gh,RM12,"1.0.6",unknown,19,ALL,ALL,15,27,0.9008474875,9
2026-08-17,ALL,gh,RM12,"1.0.6",facebook,536,ALL,ALL,460,3587,55.0403252908,1706
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,int,admob,314,1201,13.1545866970,502
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,int,audience-network,173,456,4.7466452648,156
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,int,mintegral,98,215,0.5505411776,113
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,int,vungle,21,46,0.0931697714,33
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,nav,admob,312,877,19.5321592391,417
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,nav,audience-network,311,763,16.4483259379,461
2026-08-17,"0",gh,RM12,"1.0.6",facebook,,open,admob,18,19,0.4698972030,15
2026-08-17,ALL,gm,RM12,"1.0.6",facebook,21,ALL,ALL,15,51,0.5926598577,20
2026-08-17,ALL,gn,RM12,"1.0.6",facebook,52,ALL,ALL,45,147,1.5908664948,105
2026-08-17,"0",gn,RM12,"1.0.6",facebook,,int,admob,18,34,0.2885820780,14
2026-08-17,"0",gn,RM12,"1.0.6",facebook,,int,audience-network,11,14,0.2153845113,8
2026-08-17,"0",gn,RM12,"1.0.6",facebook,,nav,admob,22,35,0.3166411120,28
2026-08-17,"0",gn,RM12,"1.0.6",facebook,,nav,audience-network,31,50,0.7290224500,45
2026-08-17,ALL,gt,RM12,"1.0.6",facebook,225,ALL,ALL,180,948,13.2463405694,393
2026-08-17,ALL,gt,RM12,"1.0.6",unknown,12,ALL,ALL,8,17,0.2569561675,7
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,int,admob,100,281,1.8061501950,85
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,int,audience-network,62,130,0.9132776059,38
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,int,mintegral,17,29,0.0264218107,19
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,int,vungle,26,33,0.2937169715,18
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,nav,admob,104,214,4.6734456933,69
2026-08-17,"0",gt,RM12,"1.0.6",facebook,,nav,audience-network,128,250,5.4422331460,159
2026-08-17,ALL,gy,RM12,"1.0.6",facebook,30,ALL,ALL,26,74,1.4706546193,48
2026-08-17,"0",gy,RM12,"1.0.6",facebook,,int,audience-network,10,16,0.2507388230,6
2026-08-17,"0",gy,RM12,"1.0.6",facebook,,nav,admob,10,13,0.4423203650,8
2026-08-17,"0",gy,RM12,"1.0.6",facebook,,nav,audience-network,16,28,0.5063000127,20
2026-08-17,ALL,hn,RM12,"1.0.6",facebook,148,ALL,ALL,110,648,7.5206800280,333
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,int,admob,62,198,1.4468346060,95
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,int,audience-network,38,79,0.4822650820,26
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,int,mintegral,13,17,0.0197766207,9
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,int,vungle,10,16,0.0367235395,13
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,nav,admob,79,179,2.8931155495,93
2026-08-17,"0",hn,RM12,"1.0.6",facebook,,nav,audience-network,74,146,2.5642753233,88
2026-08-17,ALL,ht,RM12,"1.0.6",facebook,18,ALL,ALL,15,47,0.9056488047,17
2026-08-17,"0",ht,RM12,"1.0.6",facebook,,nav,admob,13,15,0.4423320190,6
2026-08-17,ALL,id,RM12,"1.0.6",Google Organic Search,12,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,id,RM12,"1.0.6",facebook,463,ALL,ALL,390,1658,24.7751788703,895
2026-08-17,"0",id,RM12,"1.0.6",facebook,,int,admob,154,283,2.9356220930,84
2026-08-17,"0",id,RM12,"1.0.6",facebook,,int,audience-network,92,156,1.2777924778,45
2026-08-17,"0",id,RM12,"1.0.6",facebook,,int,mintegral,47,51,0.2471113823,43
2026-08-17,"0",id,RM12,"1.0.6",facebook,,int,pangle,69,121,0.7724757400,113
2026-08-17,"0",id,RM12,"1.0.6",facebook,,int,vungle,47,68,0.1810854068,46
2026-08-17,"0",id,RM12,"1.0.6",facebook,,nav,admob,208,489,10.1319999621,221
2026-08-17,"0",id,RM12,"1.0.6",facebook,,nav,audience-network,252,459,9.0849974943,330
2026-08-17,"0",id,RM12,"1.0.6",facebook,,open,admob,31,31,0.1440943140,13
2026-08-17,ALL,iq,RM12,"1.0.6",facebook,32,ALL,ALL,28,195,1.1569454674,78
2026-08-17,"0",iq,RM12,"1.0.6",facebook,,int,admob,15,46,0.3828949400,14
2026-08-17,"0",iq,RM12,"1.0.6",facebook,,int,audience-network,10,16,0.0437978114,6
2026-08-17,"0",iq,RM12,"1.0.6",facebook,,nav,admob,19,77,0.4318343220,34
2026-08-17,"0",iq,RM12,"1.0.6",facebook,,nav,audience-network,18,49,0.2861396254,22
2026-08-17,ALL,it,RM12,"1.0.6",facebook,48,ALL,ALL,40,180,9.1812280466,109
2026-08-17,"0",it,RM12,"1.0.6",facebook,,int,admob,17,40,0.8839033140,26
2026-08-17,"0",it,RM12,"1.0.6",facebook,,int,audience-network,10,18,0.6559368698,5
2026-08-17,"0",it,RM12,"1.0.6",facebook,,nav,admob,24,51,1.4671563420,23
2026-08-17,"0",it,RM12,"1.0.6",facebook,,nav,audience-network,24,49,6.0459329279,42
2026-08-17,ALL,jm,RM12,"1.0.6",facebook,100,ALL,ALL,81,349,19.1888911662,148
2026-08-17,"0",jm,RM12,"1.0.6",facebook,,int,admob,32,61,0.8784120430,38
2026-08-17,"0",jm,RM12,"1.0.6",facebook,,int,audience-network,34,56,0.6033051024,15
2026-08-17,"0",jm,RM12,"1.0.6",facebook,,nav,admob,41,60,3.3841709655,23
2026-08-17,"0",jm,RM12,"1.0.6",facebook,,nav,audience-network,61,161,14.2865138628,66
2026-08-17,ALL,jo,RM12,"1.0.6",facebook,16,ALL,ALL,12,75,0.2158414930,27
2026-08-17,ALL,ke,RM12,"1.0.6",unknown,10,ALL,ALL,4,10,0.0776041490,2
2026-08-17,ALL,ke,RM12,"1.0.6",Google Organic Search,16,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,ke,RM12,"1.0.6",facebook,372,ALL,ALL,309,1885,24.7360633902,837
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,int,admob,168,469,3.7700067590,200
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,int,audience-network,138,287,1.8818868936,92
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,int,mintegral,38,68,0.1489271074,37
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,int,pangle,26,69,0.1527721042,52
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,int,vungle,36,70,0.1053170662,59
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,nav,admob,148,373,5.0510287164,102
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,nav,audience-network,235,499,13.1789425604,275
2026-08-17,"0",ke,RM12,"1.0.6",facebook,,open,admob,50,50,0.4471821830,20
2026-08-17,ALL,lr,RM12,"1.0.6",facebook,72,ALL,ALL,64,158,2.5592231452,132
2026-08-17,"0",lr,RM12,"1.0.6",facebook,,int,admob,21,30,0.2333034220,9
2026-08-17,"0",lr,RM12,"1.0.6",facebook,,int,audience-network,17,18,0.3471486019,11
2026-08-17,"0",lr,RM12,"1.0.6",facebook,,nav,admob,27,48,0.8300602181,46
2026-08-17,"0",lr,RM12,"1.0.6",facebook,,nav,audience-network,35,54,1.0907398432,60
2026-08-17,ALL,ls,RM12,"1.0.6",facebook,14,ALL,ALL,13,40,1.4476420295,29
2026-08-17,"0",ls,RM12,"1.0.6",facebook,,nav,audience-network,12,21,1.0858031185,19
2026-08-17,ALL,ly,RM12,"1.0.6",facebook,19,ALL,ALL,12,68,0.1561483356,24
2026-08-17,ALL,ma,RM12,"1.0.6",facebook,73,ALL,ALL,61,319,2.5209673995,151
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,int,admob,27,74,0.3358819570,23
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,int,audience-network,31,55,0.1802014205,22
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,int,mintegral,15,17,0.0287587835,13
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,int,vungle,12,14,0.0241249280,13
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,nav,admob,37,68,0.5596188372,22
2026-08-17,"0",ma,RM12,"1.0.6",facebook,,nav,audience-network,42,77,1.3693784993,48
2026-08-17,ALL,mg,RM12,"1.0.6",facebook,19,ALL,ALL,15,60,0.5007621289,41
2026-08-17,"0",mg,RM12,"1.0.6",facebook,,nav,audience-network,11,20,0.3262305759,15
2026-08-17,ALL,ml,RM12,"1.0.6",facebook,18,ALL,ALL,17,55,0.5105599234,33
2026-08-17,"0",ml,RM12,"1.0.6",facebook,,nav,admob,10,11,0.0741634620,9
2026-08-17,"0",ml,RM12,"1.0.6",facebook,,nav,audience-network,12,21,0.2755658229,13
2026-08-17,ALL,mw,RM12,"1.0.6",facebook,35,ALL,ALL,28,79,0.4709097854,55
2026-08-17,"0",mw,RM12,"1.0.6",facebook,,int,audience-network,13,14,0.0791594022,6
2026-08-17,"0",mw,RM12,"1.0.6",facebook,,nav,admob,16,23,0.0917270720,19
2026-08-17,"0",mw,RM12,"1.0.6",facebook,,nav,audience-network,20,25,0.2530205504,28
2026-08-17,ALL,mx,RM12,"1.0.6",Google Organic Search,55,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,mx,RM12,"1.0.6",unknown,111,ALL,ALL,68,205,3.1799628052,103
2026-08-17,ALL,mx,RM12,"1.0.6",facebook,1857,ALL,ALL,1488,8757,226.5653545393,4209
2026-08-17,"0",mx,RM12,"1.0.6",unknown,,int,admob,14,50,0.7687117666,25
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,int,admob,764,2295,29.4713562223,940
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,int,audience-network,472,974,12.1484076075,278
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,int,mintegral,132,196,0.7467120225,101
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,int,pangle,150,565,1.9669998030,332
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,int,vungle,131,246,1.3924520178,172
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,nav,admob,997,2343,81.5188450132,1180
2026-08-17,"0",mx,RM12,"1.0.6",unknown,,nav,admob,18,37,0.9980923838,16
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,nav,audience-network,959,2055,98.4443202090,1165
2026-08-17,"0",mx,RM12,"1.0.6",unknown,,nav,audience-network,11,12,0.5913079444,15
2026-08-17,"0",mx,RM12,"1.0.6",facebook,,open,admob,82,83,0.8762616440,41
2026-08-17,"0",mx,RM12,"1.0.6",unknown,,open,admob,39,97,0.7519014140,37
2026-08-17,ALL,my,RM12,"1.0.6",facebook,73,ALL,ALL,63,269,9.6385963787,157
2026-08-17,"0",my,RM12,"1.0.6",facebook,,int,admob,35,62,1.4486844340,36
2026-08-17,"0",my,RM12,"1.0.6",facebook,,int,audience-network,16,21,0.3573302971,3
2026-08-17,"0",my,RM12,"1.0.6",facebook,,int,pangle,12,18,0.3370519400,19
2026-08-17,"0",my,RM12,"1.0.6",facebook,,nav,admob,45,82,3.8925731420,50
2026-08-17,"0",my,RM12,"1.0.6",facebook,,nav,audience-network,37,73,3.4906472085,43
2026-08-17,ALL,na,RM12,"1.0.6",facebook,41,ALL,ALL,33,84,1.5769227643,43
2026-08-17,"0",na,RM12,"1.0.6",facebook,,int,admob,21,26,0.4329539300,5
2026-08-17,"0",na,RM12,"1.0.6",facebook,,nav,admob,14,21,0.7965804800,18
2026-08-17,"0",na,RM12,"1.0.6",facebook,,nav,audience-network,15,25,0.2947432017,16
2026-08-17,ALL,ng,RM12,"1.0.6",Google Organic Search,70,ALL,ALL,0,0,0.0000000000,0
2026-08-17,ALL,ng,RM12,"1.0.6",unknown,37,ALL,ALL,19,48,0.3550941001,10
2026-08-17,ALL,ng,RM12,"1.0.6",facebook,1576,ALL,ALL,1282,6262,116.9415077309,3465
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,int,admob,638,1472,20.2776632588,769
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,int,audience-network,409,795,8.9904624314,284
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,int,mintegral,118,183,0.6305172735,101
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,int,pangle,167,419,3.4018405080,305
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,int,vungle,118,157,1.1225262527,169
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,nav,admob,751,1634,46.1577002753,907
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,nav,audience-network,789,1519,35.0003178642,884
2026-08-17,"0",ng,RM12,"1.0.6",unknown,,open,admob,14,41,0.2052221320,8
2026-08-17,"0",ng,RM12,"1.0.6",facebook,,open,admob,83,83,1.3604798670,46
2026-08-17,ALL,ni,RM12,"1.0.6",facebook,132,ALL,ALL,103,748,6.3113422103,288
2026-08-17,"0",ni,RM12,"1.0.6",facebook,,int,admob,50,250,0.8991107330,35
2026-08-17,"0",ni,RM12,"1.0.6",facebook,,int,audience-network,46,116,0.7708328879,39
2026-08-17,"0",ni,RM12,"1.0.6",facebook,,int,mintegral,11,26,0.0259987213,14
2026-08-17,"0",ni,RM12,"1.0.6",facebook,,nav,admob,62,180,1.8140205020,73
2026-08-17,"0",ni,RM12,"1.0.6",facebook,,nav,audience-network,75,167,2.7609882791,122
2026-08-17,ALL,nl,RM12,"1.0.6",facebook,17,ALL,ALL,12,32,5.5986148597,13
2026-08-17,ALL,np,RM12,"1.0.6",facebook,12,ALL,ALL,8,65,0.0509259310,9
2026-08-17,ALL,pa,RM12,"1.0.6",facebook,50,ALL,ALL,43,199,4.7194474793,94
2026-08-17,"0",pa,RM12,"1.0.6",facebook,,int,admob,21,56,0.1656520600,11
2026-08-17,"0",pa,RM12,"1.0.6",facebook,,int,audience-network,13,25,0.4619674001,10
2026-08-17,"0",pa,RM12,"1.0.6",facebook,,nav,admob,26,45,1.5997437950,18
2026-08-17,"0",pa,RM12,"1.0.6",facebook,,nav,audience-network,31,61,2.4673215692,47
2026-08-17,ALL,pe,RM12,"1.0.6",unknown,27,ALL,ALL,20,37,1.6444829057,7
2026-08-17,ALL,pe,RM12,"1.0.6",facebook,450,ALL,ALL,365,2254,44.5975037678,966
2026-08-17,ALL,pe,RM12,"1.0.6",Google Organic Search,18,ALL,ALL,0,0,0.0000000000,0
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,int,admob,199,638,6.0783265870,271
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,int,audience-network,94,205,1.1516670961,67
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,int,mintegral,35,52,0.1588717238,28
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,int,pangle,49,150,0.5751150800,82
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,int,vungle,53,88,0.8809993542,73
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,nav,admob,260,637,17.8559490207,239
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,nav,audience-network,215,462,17.6707620330,196
2026-08-17,"0",pe,RM12,"1.0.6",facebook,,open,admob,22,22,0.2258128730,10
2026-08-17,ALL,pg,RM12,"1.0.6",facebook,48,ALL,ALL,39,165,4.2014993350,99
2026-08-17,"0",pg,RM12,"1.0.6",facebook,,int,admob,14,31,0.3539484300,13
2026-08-17,"0",pg,RM12,"1.0.6",facebook,,int,audience-network,21,32,0.5729645839,11
2026-08-17,"0",pg,RM12,"1.0.6",facebook,,nav,admob,20,44,1.7135066270,34
2026-08-17,"0",pg,RM12,"1.0.6",facebook,,nav,audience-network,27,50,1.5315965832,34
2026-08-17,ALL,ph,RM12,"1.0.6",facebook,162,ALL,ALL,130,632,8.8117715432,292
2026-08-17,"0",ph,RM12,"1.0.6",facebook,,int,admob,67,167,1.5437479200,82
2026-08-17,"0",ph,RM12,"1.0.6",facebook,,int,audience-network,24,45,0.4441853960,15
2026-08-17,"0",ph,RM12,"1.0.6",facebook,,int,mintegral,20,33,0.2102567598,23
